,currentdate,currenttime,open,high,low,close
0,2024-02-01,09:15:00,46164.90,46173.30,46022.05,46060.15
1,2024-02-01,09:16:00,46063.05,46086.90,46033.10,46056.80
2,2024-02-01,09:17:00,46060.05,46072.90,46021.30,46045.85
3,2024-02-01,09:18:00,46047.55,46047.60,45945.85,45963.75
4,2024-02-01,09:19:00,45962.50,45981.10,45919.65,45933.45
5,2024-02-01,09:20:00,45924.50,45985.15,45916.40,45985.15
6,2024-02-01,09:21:00,45986.80,46010.25,45940.35,45979.00
7,2024-02-01,09:22:00,45979.80,45999.40,45936.25,45947.05
8,2024-02-01,09:23:00,45953.20,45973.55,45920.60,45924.70
9,2024-02-01,09:24:00,45932.15,45932.15,45886.70,45898.40
10,2024-02-01,09:25:00,45898.25,45905.90,45867.90,45867.90
11,2024-02-01,09:26:00,45872.25,45878.75,45825.75,45825.75
12,2024-02-01,09:27:00,45829.90,45889.35,45825.50,45878.95
13,2024-02-01,09:28:00,45882.80,45956.50,45882.80,45927.80
14,2024-02-01,09:29:00,45932.65,45934.35,45857.00,45874.95
15,2024-02-01,09:30:00,45877.00,45895.30,45858.15,45858.15
16,2024-02-01,09:31:00,45864.00,45873.00,45802.90,45802.90
17,2024-02-01,09:32:00,45788.10,45898.30,45788.10,45895.00
18,2024-02-01,09:33:00,45895.50,45903.65,45848.75,45863.25
19,2024-02-01,09:34:00,45866.65,45908.50,45866.65,45899.15
20,2024-02-01,09:35:00,45898.60,45898.60,45827.65,45844.05
21,2024-02-01,09:36:00,45847.00,45847.00,45793.15,45798.65
22,2024-02-01,09:37:00,45798.75,45833.45,45798.45,45809.90
23,2024-02-01,09:38:00,45810.30,45810.30,45762.20,45776.70
24,2024-02-01,09:39:00,45773.50,45779.55,45702.40,45721.70
25,2024-02-01,09:40:00,45720.50,45834.40,45714.25,45820.70
26,2024-02-01,09:41:00,45820.10,45820.80,45784.40,45796.10
27,2024-02-01,09:42:00,45797.45,45867.90,45795.25,45840.00
28,2024-02-01,09:43:00,45841.30,45841.30,45785.85,45788.50
29,2024-02-01,09:44:00,45787.95,45807.85,45770.10,45797.00
30,2024-02-01,09:45:00,45794.25,45810.25,45777.15,45807.80
31,2024-02-01,09:46:00,45820.90,45849.85,45815.40,45848.85
32,2024-02-01,09:47:00,45848.40,45848.40,45783.35,45788.40
33,2024-02-01,09:48:00,45784.75,45816.55,45781.15,45806.90
34,2024-02-01,09:49:00,45807.60,45809.20,45758.95,45770.15
35,2024-02-01,09:50:00,45767.40,45795.80,45741.55,45795.80
36,2024-02-01,09:51:00,45794.45,45797.90,45754.80,45760.85
37,2024-02-01,09:52:00,45759.50,45787.90,45747.55,45785.70
38,2024-02-01,09:53:00,45784.85,45820.10,45776.95,45820.10
39,2024-02-01,09:54:00,45820.80,45852.80,45809.25,45817.60
40,2024-02-01,09:55:00,45818.15,45845.15,45798.25,45843.15
41,2024-02-01,09:56:00,45842.85,45868.65,45829.70,45855.70
42,2024-02-01,09:57:00,45853.20,45878.65,45837.90,45870.10
43,2024-02-01,09:58:00,45867.10,45869.65,45829.95,45832.90
44,2024-02-01,09:59:00,45831.95,45866.70,45809.25,45866.70
45,2024-02-01,10:00:00,45867.55,45880.00,45848.75,45870.80
46,2024-02-01,10:01:00,45872.00,45872.25,45833.50,45837.00
47,2024-02-01,10:02:00,45835.70,45840.20,45810.45,45822.15
48,2024-02-01,10:03:00,45819.05,45819.05,45773.90,45815.00
49,2024-02-01,10:04:00,45815.65,45843.40,45815.65,45834.05
50,2024-02-01,10:05:00,45828.10,45828.25,45813.55,45824.80
51,2024-02-01,10:06:00,45824.40,45856.75,45824.40,45849.20
52,2024-02-01,10:07:00,45852.30,45886.00,45845.95,45882.75
53,2024-02-01,10:08:00,45875.85,45932.65,45865.20,45930.70
54,2024-02-01,10:09:00,45932.60,45950.35,45911.45,45917.25
55,2024-02-01,10:10:00,45915.45,45922.65,45897.65,45905.65
56,2024-02-01,10:11:00,45904.85,45921.10,45895.85,45920.40
57,2024-02-01,10:12:00,45916.70,45932.75,45907.85,45912.35
58,2024-02-01,10:13:00,45913.95,45934.50,45903.25,45932.65
59,2024-02-01,10:14:00,45934.10,45934.25,45895.80,45899.05
60,2024-02-01,10:15:00,45894.05,45899.30,45871.90,45871.90
61,2024-02-01,10:16:00,45877.25,45877.25,45837.40,45857.65
62,2024-02-01,10:17:00,45859.75,45916.85,45858.95,45914.05
63,2024-02-01,10:18:00,45911.95,45914.75,45895.25,45895.80
64,2024-02-01,10:19:00,45900.00,45912.05,45890.65,45912.05
65,2024-02-01,10:20:00,45901.60,45911.40,45900.25,45907.05
66,2024-02-01,10:21:00,45904.30,45911.30,45886.60,45896.20
67,2024-02-01,10:22:00,45893.40,45899.70,45871.00,45895.25
68,2024-02-01,10:23:00,45894.50,45897.50,45876.25,45880.05
69,2024-02-01,10:24:00,45877.75,45904.80,45877.25,45900.15
70,2024-02-01,10:25:00,45895.50,45910.05,45884.20,45895.95
71,2024-02-01,10:26:00,45899.65,45920.10,45896.05,45917.50
72,2024-02-01,10:27:00,45914.85,45951.30,45914.85,45920.15
73,2024-02-01,10:28:00,45919.45,45933.80,45918.10,45933.70
74,2024-02-01,10:29:00,45938.05,45987.05,45933.25,45967.40
75,2024-02-01,10:30:00,45955.30,45967.65,45934.80,45959.40
76,2024-02-01,10:31:00,45959.80,45974.35,45951.70,45957.15
77,2024-02-01,10:32:00,45953.15,45956.40,45935.30,45938.70
78,2024-02-01,10:33:00,45938.50,45944.95,45921.60,45944.95
79,2024-02-01,10:34:00,45948.00,45960.15,45941.05,45959.65
80,2024-02-01,10:35:00,45959.00,45987.05,45957.45,45985.10
81,2024-02-01,10:36:00,45989.70,46058.20,45989.70,46053.25
82,2024-02-01,10:37:00,46052.45,46052.45,46016.80,46040.85
83,2024-02-01,10:38:00,46038.70,46050.55,46025.20,46049.70
84,2024-02-01,10:39:00,46044.75,46064.20,46037.40,46040.80
85,2024-02-01,10:40:00,46046.00,46046.00,46017.05,46028.80
86,2024-02-01,10:41:00,46022.45,46035.35,46015.40,46015.40
87,2024-02-01,10:42:00,46012.55,46033.45,46012.55,46024.15
88,2024-02-01,10:43:00,46029.05,46032.65,46013.90,46019.50
89,2024-02-01,10:44:00,46021.10,46039.50,46021.10,46034.85
90,2024-02-01,10:45:00,46028.25,46056.35,46028.25,46046.50
91,2024-02-01,10:46:00,46049.65,46055.90,46034.60,46034.60
92,2024-02-01,10:47:00,46033.35,46062.40,46033.35,46060.75
93,2024-02-01,10:48:00,46048.50,46074.00,46048.50,46060.65
94,2024-02-01,10:49:00,46057.45,46066.40,46051.70,46059.00
95,2024-02-01,10:50:00,46050.95,46066.75,46045.85,46064.20
96,2024-02-01,10:51:00,46061.55,46085.05,46061.55,46079.40
97,2024-02-01,10:52:00,46079.15,46091.90,46072.35,46082.90
98,2024-02-01,10:53:00,46080.55,46080.55,46062.30,46074.35
99,2024-02-01,10:54:00,46074.20,46084.60,46058.50,46079.30
100,2024-02-01,10:55:00,46080.05,46082.30,46046.20,46046.60
101,2024-02-01,10:56:00,46044.25,46044.25,45950.70,45950.70
102,2024-02-01,10:57:00,45943.95,46004.35,45911.90,45997.80
103,2024-02-01,10:58:00,46003.30,46038.40,46003.30,46011.75
104,2024-02-01,10:59:00,46011.20,46035.80,46011.20,46032.20
105,2024-02-01,11:00:00,46032.40,46048.85,46014.75,46015.95
106,2024-02-01,11:01:00,46019.70,46039.15,46014.50,46034.60
107,2024-02-01,11:02:00,46038.25,46113.60,46033.55,46113.60
108,2024-02-01,11:03:00,46106.35,46108.75,46040.80,46044.30
109,2024-02-01,11:04:00,46046.20,46085.05,46046.20,46070.85
110,2024-02-01,11:05:00,46069.90,46078.50,46040.00,46050.70
111,2024-02-01,11:06:00,46048.05,46048.70,45984.85,45986.15
112,2024-02-01,11:07:00,45972.50,46025.05,45958.10,46016.60
113,2024-02-01,11:08:00,46014.45,46058.65,46014.45,46057.40
114,2024-02-01,11:09:00,46060.00,46060.45,46029.75,46039.10
115,2024-02-01,11:10:00,46043.25,46053.50,46035.40,46044.20
116,2024-02-01,11:11:00,46039.80,46052.95,46037.30,46052.40
117,2024-02-01,11:12:00,46050.65,46052.20,46021.65,46023.35
118,2024-02-01,11:13:00,46024.20,46037.50,46000.60,46000.60
119,2024-02-01,11:14:00,46004.60,46038.85,46004.60,46033.30
120,2024-02-01,11:15:00,46046.75,46048.95,46011.30,46015.05
121,2024-02-01,11:16:00,46017.35,46017.35,45890.95,45891.65
122,2024-02-01,11:17:00,45893.20,45898.80,45772.25,45858.80
123,2024-02-01,11:18:00,45850.65,45953.20,45841.75,45936.70
124,2024-02-01,11:19:00,45940.20,45947.45,45889.05,45889.05
125,2024-02-01,11:20:00,45890.55,45921.70,45879.35,45879.35
126,2024-02-01,11:21:00,45882.70,45937.30,45882.70,45924.70
127,2024-02-01,11:22:00,45924.65,45933.40,45909.95,45923.70
128,2024-02-01,11:23:00,45921.85,45948.70,45917.40,45948.70
129,2024-02-01,11:24:00,45945.40,45969.20,45922.60,45922.60
130,2024-02-01,11:25:00,45924.05,45938.40,45892.75,45914.25
131,2024-02-01,11:26:00,45913.20,45934.90,45910.80,45915.75
132,2024-02-01,11:27:00,45917.15,45952.45,45911.55,45944.80
133,2024-02-01,11:28:00,45946.50,45980.60,45939.80,45939.80
134,2024-02-01,11:29:00,45938.25,45961.90,45934.60,45957.80
135,2024-02-01,11:30:00,45956.30,45956.30,45912.60,45914.65
136,2024-02-01,11:31:00,45912.95,45931.50,45894.20,45894.20
137,2024-02-01,11:32:00,45891.25,45926.30,45891.25,45912.35
138,2024-02-01,11:33:00,45922.45,45924.95,45891.10,45894.85
139,2024-02-01,11:34:00,45896.30,45904.95,45859.45,45904.95
140,2024-02-01,11:35:00,45905.15,45905.90,45883.65,45893.85
141,2024-02-01,11:36:00,45901.00,45930.55,45897.95,45923.40
142,2024-02-01,11:37:00,45923.10,45969.85,45911.45,45950.40
143,2024-02-01,11:38:00,45950.85,45950.85,45917.25,45940.10
144,2024-02-01,11:39:00,45938.10,45951.65,45938.10,45946.55
145,2024-02-01,11:40:00,45945.20,45960.45,45943.65,45948.10
146,2024-02-01,11:41:00,45951.05,45951.65,45921.80,45921.80
147,2024-02-01,11:42:00,45922.35,45930.35,45894.75,45912.50
148,2024-02-01,11:43:00,45917.85,45935.40,45916.45,45922.05
149,2024-02-01,11:44:00,45916.90,45916.90,45883.20,45901.80
150,2024-02-01,11:45:00,45906.40,45918.65,45900.35,45905.60
151,2024-02-01,11:46:00,45904.05,45942.75,45880.90,45936.50
152,2024-02-01,11:47:00,45937.35,45939.60,45908.20,45920.85
153,2024-02-01,11:48:00,45924.90,45924.90,45900.15,45922.20
154,2024-02-01,11:49:00,45925.00,45959.60,45902.45,45959.60
155,2024-02-01,11:50:00,45957.45,46015.35,45943.25,46005.40
156,2024-02-01,11:51:00,46008.20,46009.20,45971.00,45984.35
157,2024-02-01,11:52:00,45988.80,46027.85,45988.80,46015.25
158,2024-02-01,11:53:00,46011.90,46062.50,46000.15,46062.50
159,2024-02-01,11:54:00,46049.10,46050.65,46003.85,46005.40
160,2024-02-01,11:55:00,46007.50,46019.60,45988.45,45997.00
161,2024-02-01,11:56:00,45994.50,45995.40,45945.15,45984.15
162,2024-02-01,11:57:00,45979.60,45995.20,45958.05,45961.20
163,2024-02-01,11:58:00,45960.05,45968.65,45880.80,45936.25
164,2024-02-01,11:59:00,45922.90,45962.50,45913.40,45962.50
165,2024-02-01,12:00:00,45964.95,45988.20,45953.05,45975.70
166,2024-02-01,12:01:00,45973.40,45973.40,45898.85,45898.85
167,2024-02-01,12:02:00,45899.85,45909.60,45787.30,45830.15
168,2024-02-01,12:03:00,45811.25,45824.10,45668.35,45739.20
169,2024-02-01,12:04:00,45724.30,45837.55,45724.30,45837.55
170,2024-02-01,12:05:00,45839.80,45878.20,45789.95,45823.55
171,2024-02-01,12:06:00,45812.00,45952.65,45812.00,45948.35
172,2024-02-01,12:07:00,45956.10,46078.90,45956.10,46078.90
173,2024-02-01,12:08:00,46075.65,46075.65,46034.30,46066.55
174,2024-02-01,12:09:00,46077.85,46138.80,46077.85,46138.80
175,2024-02-01,12:10:00,46151.30,46151.30,46084.00,46119.85
176,2024-02-01,12:11:00,46125.10,46139.40,46094.00,46127.25
177,2024-02-01,12:12:00,46123.70,46185.15,46099.35,46124.30
178,2024-02-01,12:13:00,46124.85,46127.85,46087.70,46116.20
